Model,Features,Test MAE,Test R²,Test Within 1,Test Within 2,Test Within 3
OLD Model (8 features),8,3.019,0.5258,21.0%,42.2%,59.5%
"NEW Model (with FormTrend, PointsGapToLeader, interactions)",14,3.191,0.4825,20.5%,37.3%,53.6%
